Date,Heure,Artiste,Titre,Année de la chanson,Sexe,Pays d’Origine
2012-07-15,06H29,Basto,Cloudbreaker,2012,H,Belgique
2012-07-15,06H36,Youssoupha,Dreamin,2012,H,France
2012-07-15,06H39,Inna Modja,French Cancan,2011,F,Cameroun
2012-07-15,06H45,Pitbull,Back In Time,2012,H,USA
2012-07-15,06H48,Kenza Farah,Quelque Part,2012,F,France
2012-07-15,06H58,Suarez,Qu'est Ce Que J'aime Ca,2010,Groupe,Belgique
2012-07-15,07H01,Dj Abdel,Funk You,2011,H,France
2012-07-15,07H02,Shakira,Addicted To You,2012,F,Colombie
2012-07-15,07H05,Jenifer,Sur Le Fil,2012,F,France
2012-07-15,07H08,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-15,07H12,M Pokora,Merci D'etre,2012,H,France
2012-07-15,07H15,Simple Plan,Jet Lag,2011,Groupe,Canada
2012-07-15,07H21,Dj Assad,Addicted,2012,H,France
2012-07-15,07H24,Matt Houston,Positif,2012,H,France
2012-07-15,07H28,Agnes,On And On ( On Se Donne ),2008,F,Suede
2012-07-15,07H35,Maroon 5,Payphone,2012,Groupe,USA
2012-07-15,07H39,Dry,Ma Melodie,2012,H,France
2012-07-15,07H45,Birdy,Skinny Love,2008,F,USA
2012-07-15,07H48,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-15,07H57,Leslie,Des Mots Invincibles,2012,F,France
2012-07-15,08H00,Nicki Minaj,Starships,2012,F,USA
2012-07-15,08H02,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-15,08H10,Lary Lambert,Faut Qu'on Se Parle,2012,H,France
2012-07-15,08H13,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-15,08H17,Tal,Le Sens De La Vie,2012,F,France
2012-07-15,08H22,Ellie Goulding,Lights,2011,F,Angleterre
2012-07-15,08H25,Taio Cruz,There She Goes,2012,H,Angleterre
2012-07-15,08H29,Superbus,Travel The World,2007,Groupe,France
2012-07-15,08H36,Youssoupha,Dreamin,2012,H,France
